,Date Created,User,Tweet
75,2022-12-20 08:58:59+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
76,2022-12-19 20:28:52+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
77,2022-12-19 16:08:14+00:00,Rosanjaya10,@MbakPuan_2024 Anak presiden jokowi juga dukung bu Puan 👍🏽
78,2022-12-19 07:58:57+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
79,2022-12-19 07:58:56+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
80,2022-12-19 02:15:45+00:00,MuhamadRohyadi,siap maseeee kita dukung mbak puan buat ngedukung pak ganjar di pilpres 2024 https://t.co/fQcj4qfKd1
81,2022-12-18 19:28:51+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
82,2022-12-18 18:39:37+00:00,T3NW1N1007,@convomf Suruh dia dukung Puan di pilpres 2024
83,2022-12-18 13:28:56+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
84,2022-12-18 06:58:58+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
