Unnamed: 0,Date Created,User,Tweet
34,2022-04-08 21:42:22+00:00,boby_sure,"“Sidang IPU ke-144 yang dilaksanakan pada 20-24 Maret 2022 telah menghasilkan Deklarasi Nusa Dua, yakni sebuah kesepakatan untuk memobilisasi aksi parlemen dalam mitigasi dan adaptasi perubahan iklim.Puan Maharani https://t.co/1zR0L6zpT0 #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
35,2022-04-08 21:42:10+00:00,boby_sure,"Ketua DPR RI Puan Maharani pernah berkuliah di Universitas Indonesia, jurusan Komunikasi Massa. Sewaktu kuliah, Puan pernah terjun langsung menjadi wartawan pada saat magang di majalah Forum Keadilan. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
36,2022-04-08 21:42:07+00:00,boby_sure,"“Tutup segala potensi kelalaian dan peyimpangan di lapangan. Apalagi di tengah bulan Ramadan, mayoritas masyarakat Indonesia sedang ingin beribadah dengan tenang,” -- Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
37,2022-04-08 21:42:02+00:00,boby_sure,"Puan mengingatkan, agar menjadi solusi jangka pendek menjelang Lebaran, BLT minyak goreng harus dilakukan dengan cepat, namun tepat sasaran. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
38,2022-04-08 21:40:44+00:00,BoronSarital,"“Kami mengapresiasi langkah pemerintah untuk menyalurkan BLT minyak goreng, terutama di Bulan Ramadan dan menjelang Lebaran, di mana kebutuhan masyarakat terhadap berbagai komoditas, termasuk minyak goreng, cukup tinggi.” --Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
39,2022-04-08 21:40:38+00:00,BoronSarital,Puan Maharani menerima penghargaan sebagai Bintang Bhayangkara Utama dari Polri. Puan juga menerima penghargaan dari majalah Her Times pada tahun 2019 sebagai Eminent Women of the year. #JokowiBersamaPuan Tolak Tunda Pemilu 2024
40,2022-04-08 21:39:14+00:00,baturte,"Ketika masih menjabat Menko PMK, Puan Maharani pernah menerima anugerah penghargaan Eminent Women of the Year 2019 dari Majalah Her Times.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
41,2022-04-08 21:39:03+00:00,baturte,"Tak hanya dari instansi pemerintahan, Puan juga pernah mendapat penghargaan dari lembaga non-pemerintahan, salah satunya dari Museum Rekor Dunia Indonesia (MURI). #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
42,2022-04-08 21:38:50+00:00,baturte,Brevet itu diserahkan Kepala BIN Jenderal (Pol) Budi Gunawan kepada Puan Maharani  #JokowiBersamaPuan Tolak Tunda Pemilu 2024
43,2022-04-08 21:34:10+00:00,sintadomami,"Megawati dan Puan memang sejak dulu menaruh perhatian pada umat islam. Hal itu bisa dilihat, salah satunya dari pembangunan Masjid At Taufiq. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
44,2022-04-08 21:34:06+00:00,sintadomami,"Pembangunan Masjid At Taufiq di Kantor DPP PDI-Perjuangan, di Lenteng Agung, Jakarta Selatan, merupakan inisiatif dari Puan Maharani.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
45,2022-04-08 21:33:56+00:00,sintadomami,"“Perkuat pelaksanaan 3T khususnya tracing harus makin diupayakan dengan maksimal. Karena dengan tracing yang baik, penyebaran virus dapat diperkecil.”  --Puan Maharani  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
46,2022-04-08 21:28:40+00:00,syndym_,"“Kami keluarga, saya khususnya, selalu dicekoki hal-hal yang berkaitan dengan Islam Nusantara dan Islam Berkemajuan,” kata Mbak Puan. https://t.co/XIEp8Vugqr #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
47,2022-04-08 21:28:36+00:00,syndym_,Rekaman pada Juni 2016 itu kembali ramai setelah akun Sahabat Mbak Puan di media sosial mengunggahnya Sabtu (2/4). https://t.co/rMooEUtgxr #JokowiBersamaPuan Tolak Tunda Pemilu 2024
48,2022-04-08 21:28:28+00:00,syndym_,Puan Maharani: Kami Sekeluarga Selalu Ditanamkan Tentang Islam Nusantara Yang Berkemajuan https://t.co/1izHwOBjRp #JokowiBersamaPuan Tolak Tunda Pemilu 2024
49,2022-04-08 21:13:35+00:00,bayufernanda32,"“Saya sadari pembahasan RUU TPKS diwarnai banyak dinamika sejak awal diusulkan tahun 2016. Pencapaian ini adalah keberhasilan kita seluruh bangsa Indonesia,” –Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
